id;slot_id;desc_en;desc_ar;time_from;time_to;center_id;faclitator_id
1;56282;Technician Mobility;quantifying Sleek Granite Soap;2020-04-22T16:19:36;2020-04-22T18:31:17;94222;73128
2;73413;Auto Loan Account 1080p Buckinghamshire;hybrid;2020-04-22T15:58:29;2020-04-23T12:09:16;75848;96920
3;75781;Berkshire Avon;Small Plains CSS;2020-04-23T01:25:36;2020-04-23T14:19:54;66840;82947
4;47809;Yuan Renminbi Credit Card Account;wireless Incredible Fresh Bike;2020-04-22T22:17:44;2020-04-22T16:20:49;69716;39235
5;87381;National;Kentucky;2020-04-23T10:02:49;2020-04-23T15:18:33;11811;43074
6;33987;invoice;Electronics;2020-04-22T20:01:11;2020-04-23T10:12:38;46746;76792
7;6706;cross-platform panel Tala;supply-chains;2020-04-23T00:24:48;2020-04-23T13:38:12;25128;46808
8;82805;Sausages;optical;2020-04-23T06:59:58;2020-04-23T04:02:34;24995;26834
9;65139;multi-tasking recontextualize;Technician;2020-04-23T13:39:01;2020-04-23T10:01:10;19856;88866
10;64419;Branding invoice;Minnesota;2020-04-23T08:30:17;2020-04-22T19:40:10;17805;82076
